ID_PERSONA	TBENE	BASE	PERIODO_BASE	LEY_APLICADA	MONTO	DESC_BENE
5646528	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5647224	1	111	202304	RI	56395.01	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5647884	1	111	202304	RI	5000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5650689	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5653720	2	111	202304	VK	55183.23	LEY 26425 - PRESTACIONES GENERALES
5656111	1	111	202304	TE	53153.9	LEY 26970 - PLAN CANCELADO
5662232	2	111	202304	RE	56252.48	LEY 26970 - MORATORIA
5666957	1	111	202304	TI	15000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5668852	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5671710	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5673592	2	111	202304	PM	15000	LEY 25994 Y MORATORIA 25865
5673741	1	111	202304	RI	78111.98	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5675043	1	111	202304	RI	51970.37	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5675492	1	111	202304	TI	59684.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5675805	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5676994	1	111	202304	RE	52135.61	LEY 26970 - MORATORIA
5679113	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5680921	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5681065	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5684274	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5684451	1	111	202304	RI	178316.79	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5685378	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5687637	1	111	202304	RI	56439.5	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5689967	2	111	202304	PP	56905.47	LEY 24241 -PC- PRPA.
5690929	1	111	202304	RE	54679.73	LEY 26970 - MORATORIA
5693461	1	111	202304	PP	15000	LEY 24241 -PC- PRPA.
5699573	1	111	202304	RI	50353.33	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
